address_id,streetaddress,xcoord,ycoord,latitude,longitude,city,state,zipcode,maraddressrepositoryid,ward
29,19TH STREET NW AND Q STREET NW,396232.87500246,138141.63076393,38.91112921,-77.04343492,WASHINGTON,DC,20009,901796,2
30,H STREET NW AND CONNECTICUT AVENUE NW,396707.63429889,136928.39556279,38.90020187,-77.03795514,WASHINGTON,DC,20006,903601,2
31,H STREET NW AND VERMONT AVENUE NW,396952.78098713,136928.34925879,38.90020234,-77.03512903,WASHINGTON,DC,20005,900924,2
32,15TH STREET NW AND VERMONT AVENUE NW,396999.32978717,137054.16199491,38.90133587,-77.03459295,WASHINGTON,DC,20005,900922,2
33,14TH STREET NW AND H STREET NW,397227.99010738,136928.52532279,38.90020484,-77.03195636,WASHINGTON,DC,20005,906006,2
34,5300 - 5399 BLOCK OF D STREET SE,406479.43581196,135042.89571375,38.88319888,-76.92532139,WASHINGTON,DC,20019,805892,7
35,1767 CHURCH STREET NW,396479.64,138074.84,38.9105289,-77.04058938,WASHINGTON,DC,20036,225916,2
36,1855 WISCONSIN AVENUE NW,394165.74,138703.58,38.91618015,-77.06727374,WASHINGTON,DC,20007,224665,2
37,5820 8TH STREET NE,400427.06,143413.08,38.95862431,-76.99507272,WASHINGTON,DC,20011,6255,4
38,7500 EASTERN AVENUE NW,397968.08,145990.78,38.9818426,-77.02345127,WASHINGTON,DC,20012,251131,4
39,U PLACE SE AND 22ND STREET SE,402074.09999987,133068.77703121,38.86543666,-76.97610095,WASHINGTON,DC,20020,906347,8
40,SHERIFF ROAD NE AND EASTERN AVENUE NE,406626.96458009,137351.96849118,38.90399875,-76.92359878,WASHINGTON,DC,20019,903453,7
41,2925 STANTON ROAD SE,401163.02,131901.66,38.85492479,-76.98660095,WASHINGTON,DC,20020,43120,8
42,804 SOMERSET PLACE NW,397851.23,144295.2,38.96656815,-77.02479457,WASHINGTON,DC,20011,254150,4
43,5735 KANSAS AVENUE NW,398944.28,143561.36,38.95995953,-77.01218078,WASHINGTON,DC,20011,245688,4
44,913 1/2 NORTH CAROLINA AVENUE SE,400582.68,135606.59,38.88830087,-76.99328385,WASHINGTON,DC,20003,308104,6
45,6640 PINEY BRANCH ROAD NW,397863.04,144821.92,38.971313,-77.02465994,WASHINGTON,DC,20012,253943,4
46,5319 7TH STREET NW,398093.69,142993.65,38.95484401,-77.02199322,WASHINGTON,DC,20011,246813,4
47,4358 H STREET SE,405288.92,134562.64,38.87888085,-76.93904635,WASHINGTON,DC,20019,22702,7
48,140 U STREET NE,399568.96,138811.17,38.91716895,-77.00497031,WASHINGTON,DC,20002,65261,5
49,4908 D STREET SE,405936.73,135160.16,38.88425908,-76.93157532,WASHINGTON,DC,20019,333278,7
50,6947 33RD STREET NW,394993.55,145940.07,38.98137387,-77.05778124,WASHINGTON,DC,20015,274459,4
51,743 KENTUCKY AVENUE SE,401508.51,134709.33,38.88021691,-76.98261443,WASHINGTON,DC,20003,78711,6
52,1820 CLYDESDALE PLACE NW,396182.07,139697.12,38.92514135,-77.04402935,WASHINGTON,DC,20009,236085,1
53,1 - 99 BLOCK OF 7TH STREET NE,400332.15999999,135836.31000701,38.89037007,-76.99617131,WASHINGTON,DC,20002,808382,6
54,5100 - 5199 BLOCK OF 8TH STREET NE,400511.68999999,142893.550007,38.95394387,-76.99409667,WASHINGTON,DC,20011,807860,5
55,1000 - 1099 BLOCK OF 4TH STREET NE,399950.44999999,137251.66000701,38.90312012,-77.00057125,WASHINGTON,DC,20002,810159,6
56,2032 - 2099 BLOCK OF LINCOLN ROAD NE,399389.41,138879.820007,38.91778693,-77.00704075,WASHINGTON,DC,20002,802097,5
57,1547 1ST STREET SW,398924.55,133672.61,38.87087836,-77.01239294,WASHINGTON,DC,20024,60705,6
58,1956 BILTMORE STREET NW,395951.9,139355.42,38.92206251,-77.04668172,WASHINGTON,DC,20009,235262,1
59,1924 - 1999 BLOCK OF LINCOLN ROAD NE,399361.09,138752.180007,38.91663709,-77.0073672,WASHINGTON,DC,20002,812371,5
60,2606 10TH STREET NE,400636.88,139503.39,38.92340457,-76.99265551,WASHINGTON,DC,20018,46011,5
61,3559 10TH STREET NW,397660.77,140708.66,38.93425913,-77.02698005,WASHINGTON,DC,20010,230508,1
62,779 COLUMBIA ROAD NW,397785.43,140017.64,38.92803453,-77.02554003,WASHINGTON,DC,20001,232773,1
63,1900 SAVANNAH PLACE SE,401999.41,131232.3,38.8488934,-76.97696692,WASHINGTON,DC,20020,54514,8
64,128 44TH STREET NE,405250.95,136122.39,38.8929319,-76.93947203,WASHINGTON,DC,20019,69005,7
65,2112 WYOMING AVENUE NW,395888.98,138845.49,38.9174686,-77.04740424,WASHINGTON,DC,20008,234999,2
66,124 7TH STREET SE,400353.26,135576.1,38.88802633,-76.99592823,WASHINGTON,DC,20003,70102,6
67,ALLISON STREET NW AND 15TH STREET NW,397007.89999517,141908.10702341,38.94506178,-77.03451531,WASHINGTON,DC,20011,907089,4
68,5801 13TH STREET NW,397448.06,143626.26,38.96054109,-77.02944425,WASHINGTON,DC,20011,253167,4
69,438 MANOR PLACE NW,398278.15,140593.03,38.93321893,-77.01985907,WASHINGTON,DC,20010,228751,1
70,400 ATLANTIC STREET SE,400001.7,129269.27,38.83121148,-76.99998042,WASHINGTON,DC,20032,290742,8
71,3356 18TH STREET NW,396397.85,140655.05,38.93377192,-77.04154595,WASHINGTON,DC,20010,233768,1
72,817 WEST VIRGINIA AVENUE NE,400493.93,137239.9,38.90301438,-76.99430564,WASHINGTON,DC,20002,80479,6
73,74 ALLISON STREET NE,399421.59,142109.37,38.94688006,-77.00667241,WASHINGTON,DC,20011,78547,5
74,2425 N STREET NW,395461.95,137735.74,38.9074695,-77.052321,WASHINGTON,DC,20037,294544,2
75,905 INDEPENDENCE AVENUE SE,400582.94,135511.53,38.88744453,-76.99328094,WASHINGTON,DC,20003,81854,6
76,1530 33RD STREET NW,394249.39,137974.4,38.90961234,-77.06630308,WASHINGTON,DC,20007,272582,2
77,201 C STREET SE,399712.26,135336.31,38.8858659,-77.00331647,WASHINGTON,DC,20003,278033,6
78,524 RHODE ISLAND AVENUE NE,400098.19,139341.63,38.92194727,-76.9988677,WASHINGTON,DC,20002,310488,5
79,4849 RODMAN STREET NW,391636.74,141300.38,38.93955283,-77.09646678,WASHINGTON,DC,20016,266595,3
80,1837 6TH STREET NW,398296.8,138566.69,38.91496505,-77.01963894,WASHINGTON,DC,20001,238727,2
81,6200  - 6299 BLOCK OF GEORGIA AVENUE NW,397603.36999999,144181.510007,38.96554303,-77.02765422,WASHINGTON,DC,20011,800551,4
82,4000 MASSACHUSETTS AVENUE NW,393168.99,140390.5,38.93136927,-77.07878386,WASHINGTON,DC,20016,223988,3
83,1626 KRAMER STREET NE,401603.66,136687.39,38.89803585,-76.98151321,WASHINGTON,DC,20002,59082,7
84,3407 29TH STREET NW,394832.69,140751.7,38.93463477,-77.05959869,WASHINGTON,DC,20008,220967,3
85,7 6TH STREET NE,400152.65,135818.42,38.89020929,-76.99824046,WASHINGTON,DC,20002,453,6
86,1752 17TH STREET NW,396644.2,138448.63,38.91389643,-77.03869385,WASHINGTON,DC,20009,279378,2
87,401 WATER STREET SE,399971.74,133976.92,38.87362036,-77.00032567,WASHINGTON,DC,20003,311061,8
88,3845 HARRISON STREET NW,393359.33,143256.84,38.95719186,-77.07661636,WASHINGTON,DC,20015,263672,3
89,216 ELM STREET NW,398669.11,138832.19,38.91735707,-77.01534649,WASHINGTON,DC,20001,229722,1
90,600 - 629 BLOCK OF RHODE ISLAND AVENUE NW,398225.39,138331.110007,38.91284239,-77.02046173,WASHINGTON,DC,20001,813924,2
91,1201 FLORAL STREET NW,397566.16,145661.32,38.97887373,-77.02808883,WASHINGTON,DC,20012,253403,4
92,3211 MOUNT PLEASANT STREET NW,396684.6,140405.26,38.93152287,-77.03823747,WASHINGTON,DC,20010,233544,1
93,439 LEBAUM STREET SE,399969.72,131156.04,38.84820869,-77.00034882,WASHINGTON,DC,20032,22645,8
94,116 6TH STREET SE,400158.26,135593.07,38.88817926,-76.99817585,WASHINGTON,DC,20003,72764,6
95,4110 LINNEAN AVENUE NW,395275.37,141640.32,38.94264221,-77.05449903,WASHINGTON,DC,20008,219381,3
96,1520 PENNSYLVANIA AVENUE SE,401497.21,134629.91,38.87950148,-76.98274483,WASHINGTON,DC,20003,61508,6
97,2418 MONROE STREET NE,402486.35,140600.85,38.93328754,-76.9713235,WASHINGTON,DC,20018,47377,5
98,1708 KILBOURNE PLACE NW,396590.09,140278.7,38.93038242,-77.03932685,WASHINGTON,DC,20010,233090,1
99,311 ASPEN STREET NW,398543.09,144959.24,38.9725514,-77.01681264,WASHINGTON,DC,20012,249131,4
100,3324 DENT PLACE NW,394190.46,138190.23,38.91155622,-77.06698435,WASHINGTON,DC,20007,272852,2
101,FLORIDA AVENUE NE AND 8TH STREET NE,400442.57999835,137433.55700326,38.9047586,-76.99489751,WASHINGTON,DC,20002,900643,Null
102,1104 GOOD HOPE ROAD SE,400984.84,133341.31,38.86789365,-76.98865168,WASHINGTON,DC,20020,74491,8
103,4445 BENNING ROAD NE,405349.54,135844.07,38.89042376,-76.93833774,WASHINGTON,DC,20019,20957,7
104,4266 SOUTHERN AVENUE SE,405137.56,133426.0,38.86864245,-76.94079924,WASHINGTON,DC,20019,24384,7
105,1244 SAVANNAH PLACE SE,400980.42,130694.63,38.84405156,-76.98870639,WASHINGTON,DC,20032,69859,8
106,517 13TH STREET SE,400991.61,134932.81,38.88223084,-76.98857138,WASHINGTON,DC,20003,12109,6
107,1801 MONTANA AVENUE NE,401810.52,139077.47,38.91956611,-76.97912225,WASHINGTON,DC,20002,300678,5
108,1411 H STREET NE,401295.6,136907.02,38.90001453,-76.98506407,WASHINGTON,DC,20002,277582,6
109,600  - 699 BLOCK OF DELAFIELD PLACE NW,398157.79999999,142362.480007,38.94915807,-77.02125188,WASHINGTON,DC,20011,814688,4
110,1337 KEARNY STREET NE,401101.65,140298.54,38.93056673,-76.98729452,WASHINGTON,DC,20017,66866,5
111,5342 GAY STREET NE,406624.76,136805.63,38.89907749,-76.92362947,WASHINGTON,DC,20019,9676,7
112,1322 FLORIDA AVENUE NW,397348.41,139139.21,38.92012015,-77.03057667,WASHINGTON,DC,20009,240282,1
113,3520 - 3699 BLOCK OF VAN NESS STREET NW,393856.72,141699.03000701,38.94316197,-77.0708638,WASHINGTON,DC,20008,815100,3
114,2720 MARTIN LUTHER KING JR AVENUE SE,400430.11,131768.69,38.8537276,-76.99504482,WASHINGTON,DC,20032,301360,8
115,3600 VAN NESS STREET NW,393931.29,141674.55,38.9429423,-77.07000341,WASHINGTON,DC,20008,222872,3
116,1413 MONTELLO AVENUE NE,401058.98,137544.26,38.90575566,-76.98779089,WASHINGTON,DC,20002,64699,5
117,125 6TH STREET SE,400113.11,135562.68,38.8879055,-76.99869627,WASHINGTON,DC,20003,69576,6
118,43 BUCHANAN STREET NE,399393.39,142150.78,38.94725307,-77.00699775,WASHINGTON,DC,20011,24093,5
119,1114 21ST STREET NE,402192.55,137438.68,38.90480213,-76.97472216,WASHINGTON,DC,20002,149197,5
120,3540 VAN NESS STREET NW,393945.1,141673.17,38.94292997,-77.06984409,WASHINGTON,DC,20008,222873,3
121,635 EDGEWOOD STREET NE,400282.91,139511.68,38.92347943,-76.99673749,WASHINGTON,DC,20017,289573,5
122,423 34TH STREET NE,403709.17,136404.61,38.8954821,-76.95724268,WASHINGTON,DC,20019,24769,7
123,400 OKLAHOMA AVENUE NE,402370.03,136413.84,38.89556988,-76.97267953,WASHINGTON,DC,20002,28339,7
124,4227 3RD STREET NW,398682.41,141677.32,38.94298723,-77.01519859,WASHINGTON,DC,20011,244358,4
125,603 NORTH CAROLINA AVENUE SE,400161.2,135383.6,38.88629227,-76.99814201,WASHINGTON,DC,20003,5523,6
126,631 HAMILTON STREET NW,398164.32,142820.18,38.9532815,-77.02117789,WASHINGTON,DC,20011,246924,4
127,236 LONGFELLOW STREET NW,398651.64,143286.5,38.95748312,-77.01555669,WASHINGTON,DC,20011,244883,4
128,5222 AMES STREET NE,406355.61,135906.3,38.89097799,-76.92674056,WASHINGTON,DC,20019,11286,7
129,3929 BENTON STREET NW,393197.66,139224.77,38.92086857,-77.07844164,WASHINGTON,DC,20007,263329,3
130,1884 MONROE STREET NW,396185.32,140579.33,38.93308892,-77.04399678,WASHINGTON,DC,20010,233746,1
131,2500 - 2999 BLOCK OF 1ST STREET NW,398946.95999999,139606.00000701,38.92432818,-77.01214379,WASHINGTON,DC,20001,813457,Null
132,1514 NEW JERSEY AVENUE NW,398539.82,138029.84,38.91012936,-77.01683563,WASHINGTON,DC,20001,237409,2
133,3700 - 3799 BLOCK OF VAN NESS STREET NW,393627.41,141699.470007,38.9431643,-77.07350893,WASHINGTON,DC,20016,810241,3
134,4820 BASS PLACE SE,405773.28,135422.24,38.88662141,-76.93345699,WASHINGTON,DC,20019,17129,7
135,1634 R STREET NW,396714.57,138282.99,38.91240489,-77.03788166,WASHINGTON,DC,20009,218391,2
136,2010 2ND STREET NW,398704.4,138926.49,38.91820661,-77.01493974,WASHINGTON,DC,20001,218589,1
137,1827 KALORAMA ROAD NW,396288.1,139112.13,38.91987236,-77.04280342,WASHINGTON,DC,20009,235421,1
138,3915 8TH STREET NW,398006.64,141256.2,38.93919239,-77.02299247,WASHINGTON,DC,20011,249638,4
139,2948 BRANDYWINE STREET NW,394679.01,142398.22,38.94946617,-77.06138397,WASHINGTON,DC,20008,219712,3
140,3412 EADS STREET NE,403733.12,136438.03,38.89578272,-76.95696642,WASHINGTON,DC,20019,34886,7
141,700 EAST CAPITOL STREET NE,400349.0,135807.88,38.89011396,-76.99597722,WASHINGTON,DC,20003,276,6
142,408 6TH STREET SE,400156.19,135116.03,38.8838819,-76.99819982,WASHINGTON,DC,20003,27086,6
143,11TH STREET NW AND MONROE STREET NW,397529.97999566,140545.78702215,38.93279123,-77.02848796,WASHINGTON,DC,20010,904349,1
144,910 - 999 BLOCK OF MARYLAND AVENUE NE,400614.02999999,136490.240007,38.89626076,-76.99292171,WASHINGTON,DC,20002,814725,6
145,2124 1ST STREET NW,398924.63,139001.19,38.91887982,-77.01240035,WASHINGTON,DC,20001,227808,5
146,118 48TH PLACE NE,405717.24,135905.9,38.89097877,-76.93409888,WASHINGTON,DC,20019,72495,7
147,401 34TH STREET NE,403710.38,136342.08,38.8949188,-76.95722907,WASHINGTON,DC,20019,28131,7
148,SOUTHERN AVENUE NE AND EAST CAPITOL STREET,407514.30275692,135771.06381772,38.88975026,-76.9133861,WASHINGTON,DC,20019,903709,7
149,4423 GEORGIA AVENUE NW,397749.43,141875.44,38.94476972,-77.0259613,WASHINGTON,DC,20011,252360,4
150,608 EASTERN AVENUE NE,407316.39,136628.41,38.89747555,-76.91565822,WASHINGTON,DC,20019,5142,7
151,752 MORTON STREET NW,397813.04,140426.17,38.93171443,-77.02522291,WASHINGTON,DC,20010,233017,1
152,1831 2ND STREET NE,399721.86,138591.53,38.91519009,-77.00320713,WASHINGTON,DC,20002,55093,5
153,2726 QUEBEC STREET NW,395300.88,140957.77,38.93649374,-77.05420009,WASHINGTON,DC,20008,219288,3
154,145 TENNESSEE AVENUE NE,400984.41,135943.75,38.89133778,-76.98865291,WASHINGTON,DC,20002,63065,6
155,920 5TH STREET NE,400022.37,137118.14,38.90191766,-76.99974211,WASHINGTON,DC,20002,82504,6
156,55 M STREET NE,399391.74,137510.21,38.90544902,-77.00701267,WASHINGTON,DC,20002,310088,6
157,1008 INDEPENDENCE AVENUE SE,400673.27,135549.99,38.88779093,-76.99223974,WASHINGTON,DC,20003,75884,6
158,16TH STREET NW AND OAK STREET NW,396839.61001101,140787.53700637,38.93496677,-77.03645145,WASHINGTON,DC,20010,901991,1
159,1612 MICHIGAN AVENUE NE,401509.27,141651.67,38.94275586,-76.98259041,WASHINGTON,DC,20017,59983,5
160,315 36TH STREET NE,403940.94,136255.25,38.8941356,-76.95457182,WASHINGTON,DC,20019,39377,7
161,312 QUACKENBOS STREET NE,399825.01,144001.63,38.96392621,-77.00201913,WASHINGTON,DC,20011,39976,4
162,317 ASPEN STREET NW,398503.35,144960.81,38.97256548,-77.01727124,WASHINGTON,DC,20012,249135,4
163,933 L STREET NW,397797.04,137397.0,38.90442697,-77.02539772,WASHINGTON,DC,20001,239808,2
164,2514 N STREET SE,402741.29,134148.48,38.87516157,-76.96840888,WASHINGTON,DC,20019,147800,7
165,306 36TH STREET NE,403898.12,136234.05,38.89394481,-76.95506553,WASHINGTON,DC,20019,41196,7
166,5833 COLORADO AVENUE NW,397509.29,143643.42,38.96069585,-77.02873784,WASHINGTON,DC,20011,253156,4
167,4126 ARKANSAS AVENUE NW,396970.58,141478.65,38.94119332,-77.03494392,WASHINGTON,DC,20011,259113,4
168,612 8TH STREET NE,400414.49,136664.21,38.8978284,-76.99522182,WASHINGTON,DC,20002,4654,6
169,1217 DECATUR STREET NW,397526.41,142283.45,38.94844493,-77.0285354,WASHINGTON,DC,20011,252810,4
170,2901 15TH STREET NE,401411.62,139910.18,38.92706816,-76.98372039,WASHINGTON,DC,20017,43649,5
171,1349 W STREET SE,401206.91,132917.38,38.86407477,-76.98609351,WASHINGTON,DC,20020,66276,8
172,2715 KNOX TERRACE SE,402780.39,131735.43,38.8534237,-76.96796804,WASHINGTON,DC,20020,289141,8
173,4411 GREENWICH PARKWAY NW,392880.06,138230.18,38.91190646,-77.08209375,WASHINGTON,DC,20007,271218,3
174,1339 RIDGE PLACE SE,401233.25,133428.82,38.86868199,-76.9857891,WASHINGTON,DC,20020,66739,8
175,926 P STREET NW,397816.25,137951.59,38.90942296,-77.02517802,WASHINGTON,DC,20001,226005,2
176,1608 33RD STREET NW,394253.5,138128.41,38.9109994,-77.06625698,WASHINGTON,DC,20007,272840,2
177,5114 SHERIFF ROAD NE,406451.67,137340.97,38.90390131,-76.92561983,WASHINGTON,DC,20019,13234,7
178,101 NORTH CAROLINA AVENUE SE,399571.63,135074.61,38.88350835,-77.00493719,WASHINGTON,DC,20003,75976,6
179,901 VARNUM STREET NE,400538.11,141614.19,38.94241936,-76.99379287,WASHINGTON,DC,20017,81720,5
180,625 5TH STREET NE,400066.42,136694.79,38.89810363,-76.99923432,WASHINGTON,DC,20002,312459,6
181,337 PEABODY STREET NE,399908.33,143844.31,38.96250904,-77.00105772,WASHINGTON,DC,20011,35538,4
182,2227 PERRY STREET NE,402341.92,140901.19,38.93599349,-76.97298826,WASHINGTON,DC,20018,49950,5
183,3719 NEW HAMPSHIRE AVENUE NW,397959.81,141004.96,38.93692903,-77.02353189,WASHINGTON,DC,20010,252578,4
184,1023 31ST STREET SE,403179.61,134414.39,38.87755552,-76.96335637,WASHINGTON,DC,20019,75199,7
185,121 SEATON PLACE NW,398860.13,138565.45,38.91495479,-77.0131434,WASHINGTON,DC,20001,227219,5
186,845 BURNS STREET SE,405113.66,134497.03,38.87829085,-76.94106667,WASHINGTON,DC,20019,81400,7
187,3017 CORTLAND PLACE NW,394751.27,140225.24,38.92989177,-77.06053374,WASHINGTON,DC,20008,220427,3
188,33RD STREET NW AND MCKINLEY STREET NW,394247.2300086,144112.69700946,38.96490757,-77.06637945,WASHINGTON,DC,20015,906642,4
189,300 GALLATIN STREET NW,398601.96,142683.13,38.95204772,-77.01612864,WASHINGTON,DC,20011,243776,4
190,3100 MASSACHUSETTS AVENUE SE,403220.69,134571.0,38.87896617,-76.96288221,WASHINGTON,DC,20019,40705,7
191,3314 7TH STREET SE,400287.12,130318.96,38.84066786,-76.99669278,WASHINGTON,DC,20032,290070,8
192,32 FARRAGUT PLACE NW,399145.82,142615.27,38.95143712,-77.00985426,WASHINGTON,DC,20011,276076,4
193,20 - 199 BLOCK OF FORRESTER STREET SW,399117.39999999,128601.94000701,38.82519942,-77.01016413,WASHINGTON,DC,20032,802773,8
194,4107 8TH STREET NW,397998.4,141476.85,38.94118005,-77.02308816,WASHINGTON,DC,20011,249742,4
195,2402 21ST PLACE NE,402134.2,139319.97,38.9217499,-76.97538903,WASHINGTON,DC,20018,47897,5
196,4400  - 4499 BLOCK OF 15TH STREET NW,397007.81999999,141849.070007,38.94452996,-77.03451598,WASHINGTON,DC,20011,802219,4
197,11 RHODE ISLAND AVENUE NE,399261.26,138760.98,38.91671662,-77.00851833,WASHINGTON,DC,20002,74510,5
198,3355 18TH STREET NW,396445.39,140651.82,38.93374302,-77.04099762,WASHINGTON,DC,20010,233703,1
199,818 7TH STREET NE,400309.07,136992.42,38.90078507,-76.99643694,WASHINGTON,DC,20002,80497,6
200,680 RHODE ISLAND AVENUE NE,400272.31,139274.97,38.92134674,-76.99685982,WASHINGTON,DC,20002,288849,5
201,715 G STREET NE,400390.03,136764.13,38.89872852,-76.99550374,WASHINGTON,DC,20002,77301,6
202,1407 HOWARD ROAD SE,400875.72,132456.11,38.85991951,-76.9899102,WASHINGTON,DC,20020,307236,8
203,2000 N STREET NW,396065.26,137690.0,38.90706037,-77.04536493,WASHINGTON,DC,20036,242555,2
204,5343 GAY STREET NE,406625.08,136778.24,38.89883075,-76.92362604,WASHINGTON,DC,20019,152178,7
205,708 Q STREET NW,398046.88,138122.79,38.91096573,-77.02251941,WASHINGTON,DC,20001,225966,2
206,2813 BRANCH AVENUE SE,403542.51,132020.56,38.85598919,-76.95918644,WASHINGTON,DC,20020,309341,7
207,1725 KILBOURNE PLACE NW,396545.27,140323.53,38.93078608,-77.03984399,WASHINGTON,DC,20010,233188,1
208,1401 HOWARD ROAD SE,400913.16,132426.09,38.85964937,-76.98947887,WASHINGTON,DC,20020,307250,8
209,703 MARYLAND AVENUE NE,400396.19,136345.23,38.89495458,-76.99543297,WASHINGTON,DC,20002,139,6
210,2416 NEWTON STREET NE,402488.51,140711.26,38.93428214,-76.97129818,WASHINGTON,DC,20018,47340,5
211,1414 HOWARD ROAD SE,400973.89,132411.39,38.85951689,-76.98877918,WASHINGTON,DC,20020,64518,8
212,1462 BANGOR STREET SE,401240.3,132558.09,38.86083809,-76.98570943,WASHINGTON,DC,20020,148143,8
213,1624 19TH STREET NW,396207.43,138228.07,38.91190811,-77.04372878,WASHINGTON,DC,20009,241029,2
214,P STREET NW AND DUPONT CIRCLE NW,396163.34373838,137976.81825177,38.90964422,-77.0442357,WASHINGTON,DC,20036,904106,2
215,1365 CONNECTICUT AVENUE NW,396300.34,137894.47,38.90890333,-77.04265572,WASHINGTON,DC,20036,279123,2
216,1347 CONNECTICUT AVENUE NW,396323.11,137852.2,38.90852264,-77.04239296,WASHINGTON,DC,20036,241263,2
217,1345 CONNECTICUT AVENUE NW,396325.06,137846.31,38.90846959,-77.04237045,WASHINGTON,DC,20036,285510,2
218,1329 CONNECTICUT AVENUE NW,396344.03,137808.86,38.9081323,-77.04215153,WASHINGTON,DC,20036,241266,2
219,I STREET NW AND CONNECTICUT AVENUE NW,396658.48002685,137055.33921092,38.90134524,-77.03852241,WASHINGTON,DC,20006,903513,2
220,1769 CHURCH STREET NW,396474.17,138075.11,38.91053131,-77.04065245,WASHINGTON,DC,20036,225917,2
221,615 FERN PLACE NW,398028.63,145615.57,38.97846277,-77.02275136,WASHINGTON,DC,20012,251016,4
222,212 RITTENHOUSE STREET NW,398715.02,144092.3,38.96474206,-77.01482695,WASHINGTON,DC,20011,244976,4
223,1318 35TH STREET NW,393990.37,137711.03,38.90723774,-77.06928721,WASHINGTON,DC,20007,274895,2
224,3924 BLAINE STREET NE,404383.55,136027.83,38.89208482,-76.94947119,WASHINGTON,DC,20019,29056,7
225,1321 35TH STREET NW,394031.43,137723.88,38.90735411,-77.06881393,WASHINGTON,DC,20007,272272,2
226,1601 MEIGS PLACE NE,401667.45,137524.14,38.90557347,-76.98077581,WASHINGTON,DC,20002,60373,5
227,906 WEBSTER STREET NW,397779.54,141769.35,38.94381444,-77.02561362,WASHINGTON,DC,20011,252411,4
228,EAST CAPITOL STREET AND SOUTHERN AVENUE SE,407514.30275692,135771.06381772,38.88975026,-76.9133861,WASHINGTON,DC,20019,903709,7
229,3318 IDAHO AVENUE NW,393484.04,140722.54,38.93436278,-77.07515345,WASHINGTON,DC,20016,327632,3
