servicerequestid,servicecode,status_id,address_id,adddate,resolutiondate,serviceduedate,serviceorderdate,details,servicecallcount
23-00661457,S0031,1,22,2023-12-22 20:00:00,2023-12-27 00:00:00,2023-12-27 05:00:00,2023-12-22 20:00:00,,1
23-00664382,S0451,3,22,2023-12-27 01:00:00,,2024-01-25 01:00:00,2023-12-27 01:00:00,,1
23-00664381,S0031,3,22,2023-12-27 01:00:00,,2024-01-04 05:00:00,2023-12-27 01:00:00,,1
23-00619618,S0336,1,23,2023-11-29 06:00:00,2023-11-29 10:00:00,2024-01-12 06:00:00,2023-11-29 06:00:00,,1
23-00648613,S0336,1,23,2023-12-15 06:00:00,2023-12-15 07:00:00,2024-01-30 06:00:00,2023-12-15 06:00:00,,1
23-00649711,RPP,1,23,2023-12-15 18:00:00,2023-12-16 00:00:00,2023-12-18 18:00:00,2023-12-15 18:00:00,,1
23-00658513,S0336,1,23,2023-12-21 04:00:00,2023-12-21 09:00:00,2024-02-05 04:00:00,2023-12-21 04:00:00,,1
23-00619621,GRAFF,1,25,2023-11-29 06:00:00,2023-12-22 14:00:00,2023-12-13 06:00:00,2023-11-29 06:00:00,,1
23-00619624,S04TP,1,27,2023-11-29 06:00:00,2023-11-29 16:00:00,2025-10-28 06:00:00,2023-11-29 06:00:00,,1
23-00658495,SIGNMISS_v2,1,27,2023-12-21 03:00:00,2023-12-21 19:00:00,2024-06-22 03:00:00,2023-12-21 03:00:00,,1
23-00619625,GRAFF,3,27,2023-11-29 06:00:00,,2023-12-13 06:00:00,2023-11-29 06:00:00,,1
23-00619641,SIGNMISS_v2,1,30,2023-11-29 06:00:00,2023-12-29 15:00:00,2024-05-28 06:00:00,2023-11-29 06:00:00,,1
23-00619648,BICYCLE,1,33,2023-11-29 06:00:00,2023-12-13 16:00:00,2023-12-29 05:00:00,2023-11-29 06:00:00,,1
23-00648159,S0185,1,33,2023-12-14 21:00:00,2023-12-27 14:00:00,2023-12-21 21:00:00,2023-12-14 21:00:00,,1
23-00619647,GRAFF,2,33,2023-11-29 06:00:00,2023-12-27 14:00:00,2023-12-13 06:00:00,2023-11-29 06:00:00,,1
23-00619653,S0336,1,34,2023-11-29 07:00:00,2023-11-29 10:00:00,2024-01-12 07:00:00,2023-11-29 07:00:00,,1
23-00621876,S0336,1,34,2023-11-30 05:00:00,2023-12-03 04:00:00,2024-01-13 05:00:00,2023-11-30 05:00:00,,1
23-00648598,S0336,1,34,2023-12-15 05:00:00,2023-12-15 05:00:00,2024-01-30 05:00:00,2023-12-15 05:00:00,,1
23-00619655,S05SL,1,36,2023-11-29 07:00:00,2023-12-08 13:00:00,2023-12-08 07:00:00,2023-11-29 07:00:00,,1
23-00619656,S0031,1,37,2023-11-29 08:00:00,2023-12-07 16:00:00,2023-12-08 05:00:00,2023-11-29 08:00:00,,1
23-00619660,S0336,1,38,2023-11-29 09:00:00,2023-11-29 10:00:00,2024-01-12 09:00:00,2023-11-29 09:00:00,,1
23-00624157,S0336,1,38,2023-12-01 07:00:00,2023-12-03 06:00:00,2024-01-16 07:00:00,2023-12-01 07:00:00,,1
23-00624551,RPP,1,38,2023-12-01 14:00:00,2023-12-01 17:00:00,2023-12-04 14:00:00,2023-12-01 14:00:00,,1
23-00626204,RPP,1,38,2023-12-02 01:00:00,2023-12-02 02:00:00,2023-12-04 01:00:00,2023-12-02 01:00:00,,1
23-00626425,RPP,1,38,2023-12-02 14:00:00,2023-12-02 17:00:00,2023-12-04 14:00:00,2023-12-02 14:00:00,,1
23-00630321,S0336,1,38,2023-12-05 06:00:00,2023-12-05 07:00:00,2024-01-18 06:00:00,2023-12-05 06:00:00,,1
23-00642384,S0336,1,38,2023-12-12 06:00:00,2023-12-12 08:00:00,2024-01-25 06:00:00,2023-12-12 06:00:00,,1
23-00644621,S0336,1,38,2023-12-13 06:00:00,2023-12-13 08:00:00,2024-01-26 06:00:00,2023-12-13 06:00:00,,1
23-00646629,S0336,1,38,2023-12-14 08:00:00,2023-12-14 09:00:00,2024-01-29 08:00:00,2023-12-14 08:00:00,,1
23-00650794,RPP,1,38,2023-12-16 16:00:00,2023-12-16 18:00:00,2023-12-18 16:00:00,2023-12-16 16:00:00,,1
23-00651854,S0336,1,38,2023-12-18 08:00:00,2023-12-19 11:00:00,2024-01-31 08:00:00,2023-12-18 08:00:00,,1
23-00656219,RPP,1,38,2023-12-20 00:00:00,2023-12-20 03:00:00,2023-12-21 00:00:00,2023-12-20 00:00:00,,1
23-00658539,S0336,1,38,2023-12-21 07:00:00,2023-12-21 08:00:00,2024-02-05 07:00:00,2023-12-21 07:00:00,,1
23-00658395,RPP,1,38,2023-12-21 01:00:00,2023-12-21 01:00:00,2023-12-22 01:00:00,2023-12-21 01:00:00,,1
23-00660223,RPP,1,38,2023-12-21 23:00:00,2023-12-22 00:00:00,2023-12-22 23:00:00,2023-12-21 23:00:00,,1
23-00619675,S0346,1,39,2023-11-29 11:00:00,2023-12-05 19:00:00,2023-12-06 11:00:00,2023-11-29 11:00:00,,1
23-00619676,S0346,1,40,2023-11-29 11:00:00,2023-11-29 20:00:00,2023-12-06 11:00:00,2023-11-29 11:00:00,,1
23-00619678,S0031,1,41,2023-11-29 11:00:00,2023-12-04 20:00:00,2023-12-05 00:00:00,2023-11-29 11:00:00,,1
23-00619679,S0031,1,42,2023-11-29 11:00:00,2023-12-07 14:00:00,2023-12-08 05:00:00,2023-11-29 11:00:00,,1
23-00619680,S0031,1,43,2023-11-29 11:00:00,2023-12-07 16:00:00,2023-12-08 05:00:00,2023-11-29 11:00:00,,1
23-00619681,S0196,1,44,2023-11-29 11:00:00,2023-12-01 14:00:00,2023-12-11 11:00:00,2023-11-29 11:00:00,,1
23-00619682,S0196,1,45,2023-11-29 11:00:00,2023-11-29 18:00:00,2023-12-11 11:00:00,2023-11-29 11:00:00,,1
23-00658648,S0196,1,45,2023-12-21 13:00:00,2023-12-21 18:00:00,2024-01-04 13:00:00,2023-12-21 13:00:00,,1
23-00619683,S0261,1,46,2023-11-29 11:00:00,2023-11-29 15:00:00,2023-11-30 11:00:00,2023-11-29 11:00:00,,1
23-00620155,S0000,1,46,2023-11-29 15:00:00,2023-11-30 18:00:00,2023-12-18 15:00:00,2023-11-29 15:00:00,,1
23-00619699,S0441,1,47,2023-11-29 12:00:00,2023-11-29 20:00:00,2023-12-01 12:00:00,2023-11-29 12:00:00,,1
23-00619700,S0000,1,48,2023-11-29 12:00:00,2023-11-30 16:00:00,2023-12-18 12:00:00,2023-11-29 12:00:00,,1
23-00622660,S0336,1,48,2023-11-30 16:00:00,2023-12-04 09:00:00,2024-01-15 16:00:00,2023-11-30 16:00:00,,1
23-00622955,S0031,1,48,2023-11-30 18:00:00,2023-12-06 18:00:00,2023-12-07 05:00:00,2023-11-30 18:00:00,,1
23-00665511,S0451,3,48,2023-12-27 18:00:00,,2024-01-25 18:00:00,2023-12-27 18:00:00,,1
23-00619701,COMPOSTM,1,49,2023-11-29 12:00:00,2023-12-05 21:00:00,2023-12-04 12:00:00,2023-11-29 12:00:00,,1
23-00658293,COMPOSTM,1,49,2023-12-20 22:00:00,2023-12-28 19:00:00,2023-12-26 22:00:00,2023-12-20 22:00:00,,1
23-00619702,S0477,1,50,2023-11-29 12:00:00,2023-12-27 20:00:00,2023-12-28 05:00:00,2023-11-29 12:00:00,,1
23-00623542,S0031,1,50,2023-11-30 20:00:00,2023-12-07 14:00:00,2023-12-08 05:00:00,2023-11-30 20:00:00,,1
23-00619703,S0261,1,51,2023-11-29 12:00:00,2023-11-29 14:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00619704,S0311,1,52,2023-11-29 12:00:00,2023-11-29 16:00:00,2023-12-06 12:00:00,2023-11-29 12:00:00,,1
23-00619705,RPP,1,53,2023-11-29 12:00:00,2023-11-29 15:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00656658,S0321,1,53,2023-12-20 14:00:00,2023-12-21 16:00:00,2023-12-22 14:00:00,2023-12-20 14:00:00,,1
23-00619706,RPP,1,54,2023-11-29 12:00:00,2023-11-29 15:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00619707,RPP,1,55,2023-11-29 12:00:00,2023-11-29 15:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00619709,S0261,1,56,2023-11-29 12:00:00,2023-11-29 13:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00619710,S0311,1,57,2023-11-29 12:00:00,2023-11-29 16:00:00,2023-12-06 12:00:00,2023-11-29 12:00:00,,1
23-00622407,11,1,57,2023-11-30 15:00:00,2023-12-01 18:00:00,2023-12-04 15:00:00,2023-11-30 15:00:00,,1
23-00619711,S0261,1,58,2023-11-29 12:00:00,2023-11-29 13:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00622215,S0261,1,58,2023-11-30 14:00:00,2023-11-30 16:00:00,2023-12-01 14:00:00,2023-11-30 14:00:00,,1
23-00619712,S0261,1,59,2023-11-29 12:00:00,2023-11-29 14:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00619713,RPP,1,60,2023-11-29 12:00:00,2023-11-29 14:00:00,2023-11-30 12:00:00,2023-11-29 12:00:00,,1
23-00619714,S0261,1,61,2023-11-29 13:00:00,2023-11-29 14:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00630216,COMPOST,3,61,2023-12-05 01:00:00,,2023-12-27 01:00:00,2023-12-05 01:00:00,,1
23-00619715,S0261,1,62,2023-11-29 13:00:00,2023-11-29 16:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00624289,S0261,1,62,2023-12-01 13:00:00,2023-12-01 14:00:00,2023-12-04 13:00:00,2023-12-01 13:00:00,,1
23-00636974,S0261,1,62,2023-12-08 00:00:00,2023-12-08 01:00:00,2023-12-09 00:00:00,2023-12-08 00:00:00,,1
23-00667498,S0181,3,62,2023-12-28 19:00:00,,2024-01-17 19:00:00,2023-12-28 19:00:00,,1
23-00619716,S0031,1,63,2023-11-29 13:00:00,2023-12-04 20:00:00,2023-12-05 00:00:00,2023-11-29 13:00:00,,1
23-00619718,S0441,1,64,2023-11-29 13:00:00,2023-11-30 20:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00619719,S0441,1,64,2023-11-29 13:00:00,2023-11-30 20:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00619721,S0261,1,65,2023-11-29 13:00:00,2023-11-29 13:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00651511,S0031,1,65,2023-12-17 17:00:00,2023-12-21 16:00:00,2023-12-22 05:00:00,2023-12-17 17:00:00,,1
23-00619717,SIGNMISS_v2,1,66,2023-11-29 13:00:00,2023-11-29 16:00:00,2024-05-31 13:00:00,2023-11-29 13:00:00,,1
23-00658531,S0477,3,66,2023-12-21 05:00:00,,2024-01-27 00:00:00,2023-12-21 05:00:00,,1
23-00640038,SIGNMISS_v2,4,66,2023-12-11 00:00:00,,2024-06-12 00:00:00,2023-12-11 00:00:00,,1
23-00619720,SIGNMISS_v2,1,67,2023-11-29 13:00:00,2023-12-13 16:00:00,2024-05-31 13:00:00,2023-11-29 13:00:00,,1
23-00620316,SIGNMISS_v2,7,67,2023-11-29 16:00:00,2023-12-04 15:00:00,2024-05-31 16:00:00,2023-11-29 16:00:00,,1
23-00619725,SIGTRAMA,1,68,2023-11-29 13:00:00,2023-11-29 14:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00619728,S0441,1,69,2023-11-29 13:00:00,2023-11-30 20:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00636927,S0196,1,69,2023-12-07 23:00:00,2023-12-08 15:00:00,2023-12-19 23:00:00,2023-12-07 23:00:00,,1
23-00619730,S0261,1,70,2023-11-29 13:00:00,2023-11-29 13:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00619731,S0311,1,71,2023-11-29 13:00:00,2023-11-29 16:00:00,2023-12-06 13:00:00,2023-11-29 13:00:00,,1
23-00644698,S0311,1,71,2023-12-13 13:00:00,2023-12-13 20:00:00,2023-12-20 13:00:00,2023-12-13 13:00:00,,1
23-00646783,S0261,1,71,2023-12-14 13:00:00,2023-12-14 13:00:00,2023-12-15 13:00:00,2023-12-14 13:00:00,,1
23-00619732,RPP,1,72,2023-11-29 13:00:00,2023-11-29 15:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00640168,S0336,1,72,2023-12-11 04:00:00,2023-12-11 05:00:00,2024-01-24 04:00:00,2023-12-11 04:00:00,,1
23-00645861,DDENIDTI,1,72,2023-12-13 19:00:00,2023-12-19 16:00:00,2024-01-26 19:00:00,2023-12-13 19:00:00,,1
23-00648765,RPP,1,72,2023-12-15 13:00:00,2023-12-15 18:00:00,2023-12-18 13:00:00,2023-12-15 13:00:00,,1
23-00651921,RPP,1,72,2023-12-18 12:00:00,2023-12-18 15:00:00,2023-12-19 12:00:00,2023-12-18 12:00:00,,1
23-00619735,S0261,1,74,2023-11-29 13:00:00,2023-11-29 15:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00621985,S0261,1,74,2023-11-30 13:00:00,2023-11-30 15:00:00,2023-12-01 13:00:00,2023-11-30 13:00:00,,1
23-00624285,S0261,1,74,2023-12-01 13:00:00,2023-12-01 13:00:00,2023-12-04 13:00:00,2023-12-01 13:00:00,,1
23-00648712,S0261,1,74,2023-12-15 13:00:00,2023-12-15 13:00:00,2023-12-18 13:00:00,2023-12-15 13:00:00,,1
23-00619738,CONTREMO,1,73,2023-11-29 13:00:00,2023-12-18 20:00:00,2023-12-28 13:00:00,2023-11-29 13:00:00,,1
23-00619733,RATREPLACECONTRS,3,73,2023-11-29 13:00:00,,2023-12-13 13:00:00,2023-11-29 13:00:00,,1
23-00619737,RATREPLACECONTRS,3,73,2023-11-29 13:00:00,,2023-12-13 13:00:00,2023-11-29 13:00:00,,1
23-00619739,S0031,1,75,2023-11-29 13:00:00,2023-12-05 16:00:00,2023-12-06 05:00:00,2023-11-29 13:00:00,,1
23-00619740,S0031,1,76,2023-11-29 13:00:00,2023-12-05 22:00:00,2023-12-06 05:00:00,2023-11-29 13:00:00,,1
23-00623721,S0477,1,76,2023-11-30 22:00:00,2023-12-27 20:00:00,2023-12-28 05:00:00,2023-11-30 22:00:00,,1
23-00646001,S0031,1,76,2023-12-13 20:00:00,2023-12-21 18:00:00,2023-12-22 05:00:00,2023-12-13 20:00:00,,1
23-00619743,S0031,1,77,2023-11-29 13:00:00,2023-12-05 16:00:00,2023-12-06 05:00:00,2023-11-29 13:00:00,,1
23-00619744,S0261,1,78,2023-11-29 13:00:00,2023-11-29 14:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00637655,S0261,1,78,2023-12-08 16:00:00,2023-12-08 17:00:00,2023-12-11 16:00:00,2023-12-08 16:00:00,,1
23-00650774,S0261,1,78,2023-12-16 16:00:00,2023-12-16 17:00:00,2023-12-18 16:00:00,2023-12-16 16:00:00,,1
23-00664572,S0261,1,78,2023-12-27 13:00:00,2023-12-27 14:00:00,2023-12-28 13:00:00,2023-12-27 13:00:00,,1
23-00619746,COMPOSTM,1,79,2023-11-29 13:00:00,2023-12-05 22:00:00,2023-12-04 13:00:00,2023-11-29 13:00:00,,1
23-00619747,S0311,1,80,2023-11-29 13:00:00,2023-11-29 15:00:00,2023-12-06 13:00:00,2023-11-29 13:00:00,,1
23-00619748,S0181,1,81,2023-11-29 13:00:00,2023-12-27 20:00:00,2023-12-18 13:00:00,2023-11-29 13:00:00,,1
23-00621143,S0441,1,81,2023-11-29 20:00:00,2023-12-18 14:00:00,2023-12-01 20:00:00,2023-11-29 20:00:00,,1
23-00619749,S0261,1,82,2023-11-29 13:00:00,2023-11-29 14:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00621984,S0261,1,82,2023-11-30 13:00:00,2023-11-30 13:00:00,2023-12-01 13:00:00,2023-11-30 13:00:00,,1
23-00635198,S0261,1,82,2023-12-07 13:00:00,2023-12-07 13:00:00,2023-12-08 13:00:00,2023-12-07 13:00:00,,1
23-00639566,S0261,1,82,2023-12-10 01:00:00,2023-12-10 03:00:00,2023-12-12 01:00:00,2023-12-10 01:00:00,,1
23-00648857,S0261,1,82,2023-12-15 14:00:00,2023-12-15 14:00:00,2023-12-18 14:00:00,2023-12-15 14:00:00,,1
23-00651929,S0457,1,82,2023-12-18 13:00:00,2023-12-18 16:00:00,2023-12-26 13:00:00,2023-12-18 13:00:00,,1
23-00659040,S0261,1,82,2023-12-21 15:00:00,2023-12-21 16:00:00,2023-12-22 15:00:00,2023-12-21 15:00:00,,1
23-00659259,S0261,1,82,2023-12-21 16:00:00,2023-12-21 17:00:00,2023-12-22 16:00:00,2023-12-21 16:00:00,,1
23-00665107,S0261,1,82,2023-12-27 16:00:00,2023-12-27 17:00:00,2023-12-28 16:00:00,2023-12-27 16:00:00,,1
23-00619750,S0346,1,83,2023-11-29 13:00:00,2023-11-29 20:00:00,2023-12-06 13:00:00,2023-11-29 13:00:00,,1
23-00619751,S0261,1,84,2023-11-29 13:00:00,2023-11-29 20:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00619763,SIGNMISS_v2,1,85,2023-11-29 13:00:00,2023-11-30 19:00:00,2024-05-31 13:00:00,2023-11-29 13:00:00,,1
23-00640081,S0185,1,85,2023-12-11 01:00:00,2023-12-12 18:00:00,2023-12-16 01:00:00,2023-12-11 01:00:00,,1
23-00619769,SIGTRAMA,1,86,2023-11-29 13:00:00,2023-11-29 14:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00651827,DCDOGPRKMNT2022,3,86,2023-12-18 03:00:00,,2024-03-13 03:00:00,2023-12-18 03:00:00,,1
23-00619774,DOCVEH2022,1,87,2023-11-29 13:00:00,2023-11-29 13:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00627334,SIGNMISS_v2,1,87,2023-12-03 17:00:00,2023-12-08 19:00:00,2024-06-04 17:00:00,2023-12-03 17:00:00,,1
23-00651059,S0261,1,87,2023-12-16 19:00:00,2023-12-16 19:00:00,2023-12-18 19:00:00,2023-12-16 19:00:00,,1
23-00619776,SPSTDAMA,1,88,2023-11-29 13:00:00,2023-11-29 13:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00619780,S0261,1,90,2023-11-29 13:00:00,2023-11-29 14:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00619781,S0031,1,91,2023-11-29 13:00:00,2023-12-07 16:00:00,2023-12-08 05:00:00,2023-11-29 13:00:00,,1
23-00636747,S0031,1,91,2023-12-07 21:00:00,2023-12-13 20:00:00,2023-12-14 05:00:00,2023-12-07 21:00:00,,1
23-00619782,S0185,1,92,2023-11-29 13:00:00,2023-12-07 16:00:00,2023-12-06 13:00:00,2023-11-29 13:00:00,,1
23-00619784,S0181,1,93,2023-11-29 13:00:00,2023-12-14 20:00:00,2023-12-18 13:00:00,2023-11-29 13:00:00,,1
23-00619785,SIGNMISS_v2,1,94,2023-11-29 13:00:00,2023-11-29 15:00:00,2024-05-31 13:00:00,2023-11-29 13:00:00,,1
23-00640030,SIGNMISS_v2,1,94,2023-12-10 23:00:00,2023-12-11 14:00:00,2024-06-11 23:00:00,2023-12-10 23:00:00,,1
23-00619786,S0031,1,95,2023-11-29 13:00:00,2023-12-06 22:00:00,2023-12-07 05:00:00,2023-11-29 13:00:00,,1
23-00635097,S0031,1,95,2023-12-07 05:00:00,2023-12-13 22:00:00,2023-12-13 05:00:00,2023-12-07 05:00:00,,1
23-00645683,S0031,1,95,2023-12-13 18:00:00,2023-12-18 20:00:00,2023-12-19 05:00:00,2023-12-13 18:00:00,,1
23-00661125,S0031,3,95,2023-12-22 18:00:00,,2024-01-03 05:00:00,2023-12-22 18:00:00,,1
23-00619787,S0477,1,96,2023-11-29 13:00:00,2023-12-27 18:00:00,2023-12-30 05:00:00,2023-11-29 13:00:00,,1
23-00619766,S0441,1,96,2023-11-29 13:00:00,2023-11-30 20:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00619788,S0301,1,97,2023-11-29 13:00:00,2023-12-01 17:00:00,2023-12-04 13:00:00,2023-11-29 13:00:00,,1
23-00627281,S0406,1,97,2023-12-03 15:00:00,2023-12-13 21:00:00,2024-12-17 15:00:00,2023-12-03 15:00:00,,1
23-00637659,S0301,1,97,2023-12-08 16:00:00,2023-12-08 21:00:00,2023-12-13 16:00:00,2023-12-08 16:00:00,,1
23-00645327,S0301,4,97,2023-12-13 16:00:00,,2023-12-18 16:00:00,2023-12-13 16:00:00,,1
23-00619789,S0261,1,98,2023-11-29 13:00:00,2023-11-29 15:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00654035,VACPROP,1,98,2023-12-19 00:00:00,2023-12-20 20:00:00,2024-05-14 00:00:00,2023-12-19 00:00:00,,1
23-00664353,VACPROP,1,98,2023-12-27 00:00:00,2023-12-28 12:00:00,2024-05-21 00:00:00,2023-12-27 00:00:00,,1
23-00619790,S0441,1,99,2023-11-29 13:00:00,2023-11-30 20:00:00,2023-12-01 13:00:00,2023-11-29 13:00:00,,1
23-00619793,S0301,1,101,2023-11-29 13:00:00,2023-11-30 16:00:00,2023-12-04 13:00:00,2023-11-29 13:00:00,,1
23-00626486,SIGTRAMA,1,101,2023-12-02 15:00:00,2023-12-04 12:00:00,2023-12-05 15:00:00,2023-12-02 15:00:00,,1
23-00627034,SIGTRAMA,1,101,2023-12-02 22:00:00,2023-12-04 12:00:00,2023-12-05 22:00:00,2023-12-02 22:00:00,,1
23-00619794,S0261,1,102,2023-11-29 13:00:00,2023-11-29 15:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00661919,S0000,1,102,2023-12-23 14:00:00,2023-12-26 16:00:00,2024-01-12 14:00:00,2023-12-23 14:00:00,,1
23-00619798,S0261,1,103,2023-11-29 13:00:00,2023-11-29 15:00:00,2023-11-30 13:00:00,2023-11-29 13:00:00,,1
23-00620323,S0261,1,103,2023-11-29 16:00:00,2023-11-29 17:00:00,2023-11-30 16:00:00,2023-11-29 16:00:00,,1
23-00622338,S0261,1,103,2023-11-30 15:00:00,2023-11-30 17:00:00,2023-12-01 15:00:00,2023-11-30 15:00:00,,1
23-00627922,S0261,1,103,2023-12-04 13:00:00,2023-12-04 14:00:00,2023-12-05 13:00:00,2023-12-04 13:00:00,,1
23-00628932,S0261,1,103,2023-12-04 17:00:00,2023-12-04 17:00:00,2023-12-05 17:00:00,2023-12-04 17:00:00,,1
23-00630547,S0261,1,103,2023-12-05 14:00:00,2023-12-05 16:00:00,2023-12-06 14:00:00,2023-12-05 14:00:00,,1
23-00633121,S0261,1,103,2023-12-06 14:00:00,2023-12-06 15:00:00,2023-12-07 14:00:00,2023-12-06 14:00:00,,1
23-00635708,S0261,1,103,2023-12-07 15:00:00,2023-12-07 18:00:00,2023-12-08 15:00:00,2023-12-07 15:00:00,,1
23-00637231,S0261,1,103,2023-12-08 13:00:00,2023-12-08 15:00:00,2023-12-11 13:00:00,2023-12-08 13:00:00,,1
23-00637911,S0261,1,103,2023-12-08 17:00:00,2023-12-08 17:00:00,2023-12-11 17:00:00,2023-12-08 17:00:00,,1
23-00640659,S0261,1,103,2023-12-11 15:00:00,2023-12-11 15:00:00,2023-12-12 15:00:00,2023-12-11 15:00:00,,1
23-00641052,S0261,1,103,2023-12-11 16:00:00,2023-12-11 16:00:00,2023-12-12 16:00:00,2023-12-11 16:00:00,,1
23-00642538,S0261,1,103,2023-12-12 13:00:00,2023-12-12 16:00:00,2023-12-13 13:00:00,2023-12-12 13:00:00,,1
23-00644900,S0261,1,103,2023-12-13 14:00:00,2023-12-13 15:00:00,2023-12-14 14:00:00,2023-12-13 14:00:00,,1
23-00646807,S0261,1,103,2023-12-14 13:00:00,2023-12-14 16:00:00,2023-12-15 13:00:00,2023-12-14 13:00:00,,1
23-00648804,S0261,1,103,2023-12-15 14:00:00,2023-12-15 15:00:00,2023-12-18 14:00:00,2023-12-15 14:00:00,,1
23-00654485,S0261,1,103,2023-12-19 14:00:00,2023-12-19 16:00:00,2023-12-20 14:00:00,2023-12-19 14:00:00,,1
23-00656663,S0261,1,103,2023-12-20 14:00:00,2023-12-20 15:00:00,2023-12-21 14:00:00,2023-12-20 14:00:00,,1
23-00668360,S0261,1,103,2023-12-29 13:00:00,2023-12-29 16:00:00,2024-01-02 13:00:00,2023-12-29 13:00:00,,1
